"","sunspotarea","yt_1","yt_2","yt_3"
"1",213.133333333333,NA,NA,NA
"2",109.283333333333,213.133333333333,NA,NA
"3",92.8583333333333,109.283333333333,213.133333333333,NA
"4",22.2166666666667,92.8583333333333,109.283333333333,213.133333333333
"5",36.3333333333333,22.2166666666667,92.8583333333333,109.283333333333
"6",446.75,36.3333333333333,22.2166666666667,92.8583333333333
"7",679.491666666667,446.75,36.3333333333333,22.2166666666667
"8",968.025,679.491666666667,446.75,36.3333333333333
"9",1148.90833333333,968.025,679.491666666667,446.75
"10",1034.125,1148.90833333333,968.025,679.491666666667
"11",810.208333333333,1034.125,1148.90833333333,968.025
"12",379.408333333333,810.208333333333,1034.125,1148.90833333333
"13",177.258333333333,379.408333333333,810.208333333333,1034.125
"14",87.925,177.258333333333,379.408333333333,810.208333333333
"15",76.6916666666667,87.925,177.258333333333,379.408333333333
"16",98.7666666666667,76.6916666666667,87.925,177.258333333333
"17",566.441666666667,98.7666666666667,76.6916666666667,87.925
"18",1211.275,566.441666666667,98.7666666666667,76.6916666666667
"19",1460.625,1211.275,566.441666666667,98.7666666666667
"20",1281.54166666667,1460.625,1211.275,566.441666666667
"21",973.433333333333,1281.54166666667,1460.625,1211.275
"22",547.391666666667,973.433333333333,1281.54166666667,1460.625
"23",511.65,547.391666666667,973.433333333333,1281.54166666667
"24",374.658333333333,511.65,547.391666666667,973.433333333333
"25",109.983333333333,374.658333333333,511.65,547.391666666667
"26",74.3083333333333,109.983333333333,374.658333333333,511.65
"27",27.8583333333333,74.3083333333333,109.983333333333,374.658333333333
"28",59.475,27.8583333333333,74.3083333333333,109.983333333333
"29",338.6,59.475,27.8583333333333,74.3083333333333
"30",488.175,338.6,59.475,27.8583333333333
"31",1195.88333333333,488.175,338.6,59.475
"32",774.983333333333,1195.88333333333,488.175,338.6
"33",1092.10833333333,774.983333333333,1195.88333333333,488.175
"34",697.483333333333,1092.10833333333,774.983333333333,1195.88333333333
